"species","decimalLongitude","decimalLatitude"
"Hydrochoerus hydrochaeris",-48.508427,-27.581641
"Hydrochoerus hydrochaeris",-50.368149,-21.063238
"Hydrochoerus hydrochaeris",-43.216162,-22.972033
"Hydrochoerus hydrochaeris",-47.056213,-22.875708
"Hydrochoerus hydrochaeris",-48.952553,-26.925986
"Hydrochoerus hydrochaeris",-51.035511,-30.33972
"Hydrochoerus hydrochaeris",-45.88517,-23.168075
"Hydrochoerus hydrochaeris",-49.3126,-25.429714
"Hydrochoerus hydrochaeris",-56.62157,-20.100217
"Hydrochoerus hydrochaeris",-46.87302,-22.774918
"Hydrochoerus hydrochaeris",-49.306777,-25.429109
"Hydrochoerus hydrochaeris",-43.074512,-22.951992
"Hydrochoerus hydrochaeris",-49.311439,-25.427083
"Hydrochoerus hydrochaeris",-46.333457,-22.859555
"Hydrochoerus hydrochaeris",-44.43763,-22.973455
"Hydrochoerus hydrochaeris",-51.929139,-23.426219
"Hydrochoerus hydrochaeris",-61.897137,-11.166217
"Hydrochoerus hydrochaeris",-47.051061,-22.874512
"Hydrochoerus hydrochaeris",-49.055234,-21.406967
"Hydrochoerus hydrochaeris",-42.956293,-22.956677
"Hydrochoerus hydrochaeris",-46.721644,-23.658574
"Hydrochoerus hydrochaeris",-43.216063,-22.971478
"Hydrochoerus hydrochaeris",-49.06733,-26.913033
"Hydrochoerus hydrochaeris",-41.046703,-21.920979
"Hydrochoerus hydrochaeris",-47.671917,-22.721012
"Hydrochoerus hydrochaeris",-43.032974,-22.956744
"Hydrochoerus hydrochaeris",-46.872864,-22.775108
"Hydrochoerus hydrochaeris",-47.369288,-21.9253
"Hydrochoerus hydrochaeris",-49.721455,-29.32598
"Hydrochoerus hydrochaeris",-48.274104,-18.952263
"Hydrochoerus hydrochaeris",-55.90013,-9.568074
"Hydrochoerus hydrochaeris",-34.945497,-7.54429
"Hydrochoerus hydrochaeris",-49.061862,-26.920009
"Hydrochoerus hydrochaeris",-41.161566,-21.967217
"Hydrochoerus hydrochaeris",-47.450088,-21.963822
"Hydrochoerus hydrochaeris",-47.451203,-21.965933
"Hydrochoerus hydrochaeris",-46.910122,-22.742383
"Hydrochoerus hydrochaeris",-46.910111,-22.742406
"Hydrochoerus hydrochaeris",-46.715356,-23.718271
"Hydrochoerus hydrochaeris",-46.168978,-23.509847
"Hydrochoerus hydrochaeris",-44.311959,-22.923007
"Hydrochoerus hydrochaeris",-43.997556,-19.858931
"Hydrochoerus hydrochaeris",-52.634766,-22.210647
"Hydrochoerus hydrochaeris",-47.453474,-21.948824
"Hydrochoerus hydrochaeris",-48.430975,-1.42486
"Hydrochoerus hydrochaeris",-38.510084,-3.806367
"Hydrochoerus hydrochaeris",-43.073107,-22.937778
"Hydrochoerus hydrochaeris",-48.464508,-27.604988
"Hydrochoerus hydrochaeris",-49.30673,-25.428955
"Hydrochoerus hydrochaeris",-34.945586,-8.010475
"Hydrochoerus hydrochaeris",-49.221878,-16.65139
"Hydrochoerus hydrochaeris",-49.312513,-25.429681
"Hydrochoerus hydrochaeris",-43.200453,-22.975293
"Hydrochoerus hydrochaeris",-44.678755,-22.384998
"Hydrochoerus hydrochaeris",-34.946012,-8.010576
"Hydrochoerus hydrochaeris",-34.945847,-8.010192
"Hydrochoerus hydrochaeris",-43.367284,-22.969454
"Hydrochoerus hydrochaeris",-57.031509,-19.576529
"Hydrochoerus hydrochaeris",-49.081876,-26.911187
"Hydrochoerus hydrochaeris",-67.869462,-9.958353
"Hydrochoerus hydrochaeris",-34.94593,-8.010507
"Hydrochoerus hydrochaeris",-38.874423,-4.086252
"Hydrochoerus hydrochaeris",-38.014296,-12.581475
"Hydrochoerus hydrochaeris",-40.315684,-20.299027
"Hydrochoerus hydrochaeris",-47.44937,-21.957948
"Hydrochoerus hydrochaeris",-43.129227,-22.895683
"Hydrochoerus hydrochaeris",-47.45064,-21.953406
"Hydrochoerus hydrochaeris",-43.283869,-22.282549
"Hydrochoerus hydrochaeris",-43.283869,-22.282549
"Hydrochoerus hydrochaeris",-50.364913,-29.088309
"Hydrochoerus hydrochaeris",-41.813112,-20.467088
"Hydrochoerus hydrochaeris",-48.008891,-22.664272
"Hydrochoerus hydrochaeris",-49.737498,-29.308359
"Hydrochoerus hydrochaeris",-38.50997,-3.80551
"Hydrochoerus hydrochaeris",-48.50787,-27.582089
"Hydrochoerus hydrochaeris",-48.694449,-26.896667
"Hydrochoerus hydrochaeris",-41.060318,-21.926433
"Hydrochoerus hydrochaeris",-51.929577,-23.425835
